"meter_id","read_ts","consumption_gallons"
"M00001","2025-04-03 15:00:00",3.95
"M00001","2025-04-03 16:00:00",18.44
"M00001","2025-04-03 17:00:00",13.72
"M00001","2025-04-03 18:00:00",6.74
"M00001","2025-04-03 19:00:00",24.03
"M00001","2025-04-03 20:00:00",47.87
"M00001","2025-04-03 21:00:00",0
"M00001","2025-04-03 22:00:00",20.6
"M00001","2025-04-03 23:00:00",9.66
"M00001","2025-04-04 00:00:00",0
"M00001","2025-04-04 01:00:00",0
"M00001","2025-04-04 02:00:00",0
"M00001","2025-04-04 03:00:00",0
"M00001","2025-04-04 04:00:00",0
"M00001","2025-04-04 05:00:00",0
"M00001","2025-04-04 06:00:00",17.85
"M00001","2025-04-04 07:00:00",7.86
"M00001","2025-04-04 08:00:00",15.25
"M00001","2025-04-04 09:00:00",14.1
"M00001","2025-04-04 10:00:00",0
"M00001","2025-04-04 11:00:00",5.8
"M00001","2025-04-04 12:00:00",7.3
"M00001","2025-04-04 13:00:00",0
"M00001","2025-04-04 14:00:00",8.11
"M00001","2025-04-04 15:00:00",23.23
"M00001","2025-04-04 16:00:00",7.11
"M00001","2025-04-04 17:00:00",19.29
"M00001","2025-04-04 18:00:00",36.07
"M00001","2025-04-04 19:00:00",27.95
"M00001","2025-04-04 20:00:00",8.05
"M00001","2025-04-04 21:00:00",0
"M00001","2025-04-04 22:00:00",0
"M00001","2025-04-04 23:00:00",10.13
"M00001","2025-04-05 00:00:00",0
"M00001","2025-04-05 01:00:00",0
"M00001","2025-04-05 02:00:00",0
"M00001","2025-04-05 03:00:00",0
"M00001","2025-04-05 04:00:00",11.54
"M00001","2025-04-05 05:00:00",15.79
"M00001","2025-04-05 06:00:00",0
"M00001","2025-04-05 07:00:00",39.1
"M00001","2025-04-05 08:00:00",21.07
"M00001","2025-04-05 09:00:00",14.43
"M00001","2025-04-05 10:00:00",0
"M00001","2025-04-05 11:00:00",10.8
"M00001","2025-04-05 12:00:00",47.79
"M00001","2025-04-05 13:00:00",7.25
"M00001","2025-04-05 14:00:00",37.29
"M00001","2025-04-05 15:00:00",14.9
"M00001","2025-04-05 16:00:00",21.11
"M00001","2025-04-05 17:00:00",23.78
"M00001","2025-04-05 18:00:00",43.45
"M00001","2025-04-05 19:00:00",6.36
"M00001","2025-04-05 20:00:00",5.33
"M00001","2025-04-05 21:00:00",0
"M00001","2025-04-05 22:00:00",25.93
"M00001","2025-04-05 23:00:00",6.31
"M00001","2025-04-06 00:00:00",0
"M00001","2025-04-06 01:00:00",0
"M00001","2025-04-06 02:00:00",0
"M00001","2025-04-06 03:00:00",0
"M00001","2025-04-06 04:00:00",0
"M00001","2025-04-06 05:00:00",18.27
"M00001","2025-04-06 06:00:00",20.09
"M00001","2025-04-06 07:00:00",6.95
"M00001","2025-04-06 08:00:00",22.79
"M00001","2025-04-06 09:00:00",19.63
"M00001","2025-04-06 10:00:00",0
"M00001","2025-04-06 11:00:00",0
"M00001","2025-04-06 12:00:00",5.29
"M00001","2025-04-06 13:00:00",0
"M00001","2025-04-06 14:00:00",4.8
"M00001","2025-04-06 15:00:00",24.21
"M00001","2025-04-06 16:00:00",14.29
"M00001","2025-04-06 17:00:00",10.29
"M00001","2025-04-06 18:00:00",22.7
"M00001","2025-04-06 19:00:00",9.39
"M00001","2025-04-06 20:00:00",13.67
"M00001","2025-04-06 21:00:00",8.47
"M00001","2025-04-06 22:00:00",20.23
"M00001","2025-04-06 23:00:00",24.73
"M00001","2025-04-07 00:00:00",14.02
"M00001","2025-04-07 01:00:00",0
"M00001","2025-04-07 02:00:00",19.85
"M00001","2025-04-07 03:00:00",0
"M00001","2025-04-07 04:00:00",0
"M00001","2025-04-07 05:00:00",0
"M00001","2025-04-07 06:00:00",23.85
"M00001","2025-04-07 07:00:00",63.87
"M00001","2025-04-07 08:00:00",33.38
"M00001","2025-04-07 09:00:00",0
"M00001","2025-04-07 10:00:00",9.93
"M00001","2025-04-07 11:00:00",24.63
"M00001","2025-04-07 12:00:00",0
"M00001","2025-04-07 13:00:00",4.84
"M00001","2025-04-07 14:00:00",0
"M00001","2025-04-07 15:00:00",8.47
"M00001","2025-04-07 16:00:00",6.91
"M00001","2025-04-07 17:00:00",40.99
"M00001","2025-04-07 18:00:00",44.9
"M00001","2025-04-07 19:00:00",38.38
"M00001","2025-04-07 20:00:00",27.28
"M00001","2025-04-07 21:00:00",0
"M00001","2025-04-07 22:00:00",0
"M00001","2025-04-07 23:00:00",0
"M00001","2025-04-08 00:00:00",0
"M00001","2025-04-08 01:00:00",0
"M00001","2025-04-08 02:00:00",0
"M00001","2025-04-08 03:00:00",0
"M00001","2025-04-08 04:00:00",0
"M00001","2025-04-08 05:00:00",0
"M00001","2025-04-08 06:00:00",39.23
"M00001","2025-04-08 07:00:00",23.12
"M00001","2025-04-08 08:00:00",0
"M00001","2025-04-08 09:00:00",13.05
"M00001","2025-04-08 10:00:00",13.31
"M00001","2025-04-08 11:00:00",0
"M00001","2025-04-08 12:00:00",8.53
"M00001","2025-04-08 13:00:00",13.33
"M00001","2025-04-08 14:00:00",0
"M00001","2025-04-08 15:00:00",12.52
"M00001","2025-04-08 16:00:00",7.88
"M00001","2025-04-08 17:00:00",16.39
"M00001","2025-04-08 18:00:00",15.03
"M00001","2025-04-08 19:00:00",30.4
"M00001","2025-04-08 20:00:00",14.11
"M00001","2025-04-08 21:00:00",18.54
"M00001","2025-04-08 22:00:00",6.82
"M00001","2025-04-08 23:00:00",9.25
"M00001","2025-04-09 00:00:00",0
"M00001","2025-04-09 01:00:00",7.36
"M00001","2025-04-09 02:00:00",0
"M00001","2025-04-09 03:00:00",16.34
"M00001","2025-04-09 04:00:00",0
"M00001","2025-04-09 05:00:00",0
"M00001","2025-04-09 06:00:00",24.42
"M00001","2025-04-09 07:00:00",6.22
"M00001","2025-04-09 08:00:00",18.99
"M00001","2025-04-09 09:00:00",8.16
"M00001","2025-04-09 10:00:00",23.45
"M00001","2025-04-09 11:00:00",4.48
"M00001","2025-04-09 12:00:00",0
"M00001","2025-04-09 13:00:00",0
"M00001","2025-04-09 14:00:00",0
"M00001","2025-04-09 15:00:00",7.4
"M00001","2025-04-09 16:00:00",17.69
"M00001","2025-04-09 17:00:00",7.49
"M00001","2025-04-09 18:00:00",12.1
"M00001","2025-04-09 19:00:00",0
"M00001","2025-04-09 20:00:00",23.91
"M00001","2025-04-09 21:00:00",10.68
"M00001","2025-04-09 22:00:00",12.23
"M00001","2025-04-09 23:00:00",0
"M00001","2025-04-10 00:00:00",5.52
"M00001","2025-04-10 01:00:00",0
"M00001","2025-04-10 02:00:00",0
"M00001","2025-04-10 03:00:00",8.72
"M00001","2025-04-10 04:00:00",11.42
"M00001","2025-04-10 05:00:00",0
"M00001","2025-04-10 06:00:00",27.23
"M00001","2025-04-10 07:00:00",58.89
"M00001","2025-04-10 08:00:00",11.37
"M00001","2025-04-10 09:00:00",0
"M00001","2025-04-10 10:00:00",8.82
"M00001","2025-04-10 11:00:00",0
"M00001","2025-04-10 12:00:00",11.48
"M00001","2025-04-10 13:00:00",0
"M00001","2025-04-10 14:00:00",15.71
"M00001","2025-04-10 15:00:00",0
"M00001","2025-04-10 16:00:00",39.88
"M00001","2025-04-10 17:00:00",24.88
"M00001","2025-04-10 18:00:00",11.93
"M00001","2025-04-10 19:00:00",0
"M00001","2025-04-10 20:00:00",15.59
"M00001","2025-04-10 21:00:00",9.98
"M00001","2025-04-10 22:00:00",0
"M00001","2025-04-10 23:00:00",8.21
"M00001","2025-04-11 00:00:00",0
"M00001","2025-04-11 01:00:00",0
"M00001","2025-04-11 02:00:00",0
"M00001","2025-04-11 03:00:00",0
"M00001","2025-04-11 04:00:00",0
"M00001","2025-04-11 05:00:00",11.9
"M00001","2025-04-11 06:00:00",0
"M00001","2025-04-11 07:00:00",18.53
"M00001","2025-04-11 08:00:00",29.25
"M00001","2025-04-11 09:00:00",9.75
"M00001","2025-04-11 10:00:00",20.54
"M00001","2025-04-11 11:00:00",0
"M00001","2025-04-11 12:00:00",7.1
"M00001","2025-04-11 13:00:00",5.1
"M00001","2025-04-11 14:00:00",0
"M00001","2025-04-11 15:00:00",5.86
"M00001","2025-04-11 16:00:00",9.71
"M00001","2025-04-11 17:00:00",0
"M00001","2025-04-11 18:00:00",61.57
"M00001","2025-04-11 19:00:00",29.3
"M00001","2025-04-11 20:00:00",31.89
"M00001","2025-04-11 21:00:00",0
"M00001","2025-04-11 22:00:00",0
"M00001","2025-04-11 23:00:00",0
"M00001","2025-04-12 00:00:00",0
"M00001","2025-04-12 01:00:00",0
"M00001","2025-04-12 02:00:00",7.72
"M00001","2025-04-12 03:00:00",0
"M00001","2025-04-12 04:00:00",0
"M00001","2025-04-12 05:00:00",0
"M00001","2025-04-12 06:00:00",35.76
"M00001","2025-04-12 07:00:00",11.5
"M00001","2025-04-12 08:00:00",19.83
"M00001","2025-04-12 09:00:00",21.01
"M00001","2025-04-12 10:00:00",14.51
"M00001","2025-04-12 11:00:00",0
"M00001","2025-04-12 12:00:00",19.12
"M00001","2025-04-12 13:00:00",18.57
"M00001","2025-04-12 14:00:00",37.42
"M00001","2025-04-12 15:00:00",0
"M00001","2025-04-12 16:00:00",17.91
"M00001","2025-04-12 17:00:00",7.32
"M00001","2025-04-12 18:00:00",6.35
"M00001","2025-04-12 19:00:00",36
"M00001","2025-04-12 20:00:00",6.21
"M00001","2025-04-12 21:00:00",18.63
"M00001","2025-04-12 22:00:00",5.99
"M00001","2025-04-12 23:00:00",0
"M00001","2025-04-13 00:00:00",0
"M00001","2025-04-13 01:00:00",0
"M00001","2025-04-13 02:00:00",0
"M00001","2025-04-13 03:00:00",6.57
"M00001","2025-04-13 04:00:00",0
"M00001","2025-04-13 05:00:00",0
"M00001","2025-04-13 06:00:00",13.49
"M00001","2025-04-13 07:00:00",52.04
"M00001","2025-04-13 08:00:00",32.55
"M00001","2025-04-13 09:00:00",9.74
"M00001","2025-04-13 10:00:00",11.16
"M00001","2025-04-13 11:00:00",30.41
"M00001","2025-04-13 12:00:00",12.47
"M00001","2025-04-13 13:00:00",0
"M00001","2025-04-13 14:00:00",10.59
"M00001","2025-04-13 15:00:00",27.53
"M00001","2025-04-13 16:00:00",9.56
"M00001","2025-04-13 17:00:00",21.09
"M00001","2025-04-13 18:00:00",34.16
"M00001","2025-04-13 19:00:00",0
"M00001","2025-04-13 20:00:00",9.34
"M00001","2025-04-13 21:00:00",0
"M00001","2025-04-13 22:00:00",13.39
"M00001","2025-04-13 23:00:00",11.45
"M00001","2025-04-14 00:00:00",0
"M00001","2025-04-14 01:00:00",0
"M00001","2025-04-14 02:00:00",0
"M00001","2025-04-14 03:00:00",0
"M00001","2025-04-14 04:00:00",12
"M00001","2025-04-14 05:00:00",15.37
"M00001","2025-04-14 06:00:00",24.37
"M00001","2025-04-14 07:00:00",0
"M00001","2025-04-14 08:00:00",28.89
"M00001","2025-04-14 09:00:00",0
"M00001","2025-04-14 10:00:00",14.08
"M00001","2025-04-14 11:00:00",5.56
"M00001","2025-04-14 12:00:00",9.57
"M00001","2025-04-14 13:00:00",12.26
"M00001","2025-04-14 14:00:00",7
"M00001","2025-04-14 15:00:00",0
"M00001","2025-04-14 16:00:00",16.38
"M00001","2025-04-14 17:00:00",20.16
"M00001","2025-04-14 18:00:00",0
"M00001","2025-04-14 19:00:00",13.55
"M00001","2025-04-14 20:00:00",15.42
"M00001","2025-04-14 21:00:00",0
"M00001","2025-04-14 22:00:00",6.21
"M00001","2025-04-14 23:00:00",5.55
"M00001","2025-04-15 00:00:00",6.98
"M00001","2025-04-15 01:00:00",0
"M00001","2025-04-15 02:00:00",0
"M00001","2025-04-15 03:00:00",4.01
"M00001","2025-04-15 04:00:00",0
"M00001","2025-04-15 05:00:00",0
"M00001","2025-04-15 06:00:00",56.59
"M00001","2025-04-15 07:00:00",59.62
"M00001","2025-04-15 08:00:00",0
"M00001","2025-04-15 09:00:00",0
"M00001","2025-04-15 10:00:00",18.6
"M00001","2025-04-15 11:00:00",22.25
"M00001","2025-04-15 12:00:00",0
"M00001","2025-04-15 13:00:00",30.61
"M00001","2025-04-15 14:00:00",24.49
"M00001","2025-04-15 15:00:00",27.38
"M00001","2025-04-15 16:00:00",10.91
"M00001","2025-04-15 17:00:00",12.36
"M00001","2025-04-15 18:00:00",56.36
"M00001","2025-04-15 19:00:00",39.53
"M00001","2025-04-15 20:00:00",13.1
"M00001","2025-04-15 21:00:00",12.95
"M00001","2025-04-15 22:00:00",0
"M00001","2025-04-15 23:00:00",0
"M00001","2025-04-16 00:00:00",0
"M00001","2025-04-16 01:00:00",0
"M00001","2025-04-16 02:00:00",0
"M00001","2025-04-16 03:00:00",0
"M00001","2025-04-16 04:00:00",0
"M00001","2025-04-16 05:00:00",7.14
"M00001","2025-04-16 06:00:00",8.43
"M00001","2025-04-16 07:00:00",10.91
"M00001","2025-04-16 08:00:00",19.6
"M00001","2025-04-16 09:00:00",21.22
"M00001","2025-04-16 10:00:00",0
"M00001","2025-04-16 11:00:00",33.75
"M00001","2025-04-16 12:00:00",7.55
"M00001","2025-04-16 13:00:00",13.16
"M00001","2025-04-16 14:00:00",0
"M00001","2025-04-16 15:00:00",0
"M00001","2025-04-16 16:00:00",0
"M00001","2025-04-16 17:00:00",7.66
"M00001","2025-04-16 18:00:00",21.21
"M00001","2025-04-16 19:00:00",6.79
"M00001","2025-04-16 20:00:00",25.02
"M00001","2025-04-16 21:00:00",0
"M00001","2025-04-16 22:00:00",21.72
"M00001","2025-04-16 23:00:00",6.29
"M00001","2025-04-17 00:00:00",0
"M00001","2025-04-17 01:00:00",5.84
"M00001","2025-04-17 02:00:00",0
"M00001","2025-04-17 03:00:00",0
"M00001","2025-04-17 04:00:00",10.34
"M00001","2025-04-17 05:00:00",0
"M00001","2025-04-17 06:00:00",24.39
"M00001","2025-04-17 07:00:00",16.49
"M00001","2025-04-17 08:00:00",29.15
"M00001","2025-04-17 09:00:00",8.34
"M00001","2025-04-17 10:00:00",0
"M00001","2025-04-17 11:00:00",13.96
"M00001","2025-04-17 12:00:00",0
"M00001","2025-04-17 13:00:00",13.45
"M00001","2025-04-17 14:00:00",7.9
"M00001","2025-04-17 15:00:00",6.42
"M00001","2025-04-17 16:00:00",0
"M00001","2025-04-17 17:00:00",33.65
"M00001","2025-04-17 18:00:00",30.64
"M00001","2025-04-17 19:00:00",41.56
"M00001","2025-04-17 20:00:00",0
"M00001","2025-04-17 21:00:00",0
"M00001","2025-04-17 22:00:00",11.7
"M00001","2025-04-17 23:00:00",13.83
"M00001","2025-04-18 00:00:00",0
"M00001","2025-04-18 01:00:00",14.93
"M00001","2025-04-18 02:00:00",0
"M00001","2025-04-18 03:00:00",0
"M00001","2025-04-18 04:00:00",0
"M00001","2025-04-18 05:00:00",0
"M00001","2025-04-18 06:00:00",30.32
"M00001","2025-04-18 07:00:00",40.64
"M00001","2025-04-18 08:00:00",16.24
"M00001","2025-04-18 09:00:00",10.06
"M00001","2025-04-18 10:00:00",8.72
"M00001","2025-04-18 11:00:00",19.85
"M00001","2025-04-18 12:00:00",27.49
"M00001","2025-04-18 13:00:00",9.15
"M00001","2025-04-18 14:00:00",10.31
"M00001","2025-04-18 15:00:00",0
"M00001","2025-04-18 16:00:00",32.22
"M00001","2025-04-18 17:00:00",19.98
"M00001","2025-04-18 18:00:00",0
"M00001","2025-04-18 19:00:00",13.75
"M00001","2025-04-18 20:00:00",23.31
"M00001","2025-04-18 21:00:00",7.13
"M00001","2025-04-18 22:00:00",6.15
"M00001","2025-04-18 23:00:00",0
"M00001","2025-04-19 00:00:00",0
"M00001","2025-04-19 01:00:00",0
"M00001","2025-04-19 02:00:00",11.27
"M00001","2025-04-19 03:00:00",8.24
"M00001","2025-04-19 04:00:00",12.42
"M00001","2025-04-19 05:00:00",10.77
"M00001","2025-04-19 06:00:00",12.23
"M00001","2025-04-19 07:00:00",21.43
"M00001","2025-04-19 08:00:00",57.12
"M00001","2025-04-19 09:00:00",35.89
"M00001","2025-04-19 10:00:00",0
"M00001","2025-04-19 11:00:00",6.68
"M00001","2025-04-19 12:00:00",25.6
"M00001","2025-04-19 13:00:00",8.23
"M00001","2025-04-19 14:00:00",4.24
"M00001","2025-04-19 15:00:00",10.33
"M00001","2025-04-19 16:00:00",0
"M00001","2025-04-19 17:00:00",23.91
"M00001","2025-04-19 18:00:00",0
"M00001","2025-04-19 19:00:00",26.01
"M00001","2025-04-19 20:00:00",9.95
"M00001","2025-04-19 21:00:00",8.34
"M00001","2025-04-19 22:00:00",50.22
"M00001","2025-04-19 23:00:00",8.48
"M00001","2025-04-20 00:00:00",0
"M00001","2025-04-20 01:00:00",0
"M00001","2025-04-20 02:00:00",5.04
"M00001","2025-04-20 03:00:00",0
"M00001","2025-04-20 04:00:00",9.93
"M00001","2025-04-20 05:00:00",0
"M00001","2025-04-20 06:00:00",9.46
"M00001","2025-04-20 07:00:00",37.46
"M00001","2025-04-20 08:00:00",35.9
"M00001","2025-04-20 09:00:00",11.71
"M00001","2025-04-20 10:00:00",12.04
"M00001","2025-04-20 11:00:00",7.75
"M00001","2025-04-20 12:00:00",15.03
"M00001","2025-04-20 13:00:00",0
"M00001","2025-04-20 14:00:00",18.8
"M00001","2025-04-20 15:00:00",4.46
"M00001","2025-04-20 16:00:00",21.19
"M00001","2025-04-20 17:00:00",48.8
"M00001","2025-04-20 18:00:00",12.96
"M00001","2025-04-20 19:00:00",26.25
"M00001","2025-04-20 20:00:00",21.29
"M00001","2025-04-20 21:00:00",23.22
"M00001","2025-04-20 22:00:00",0
"M00001","2025-04-20 23:00:00",5.32
"M00001","2025-04-21 00:00:00",5.59
"M00001","2025-04-21 01:00:00",0
"M00001","2025-04-21 02:00:00",0
"M00001","2025-04-21 03:00:00",0
"M00001","2025-04-21 04:00:00",0
"M00001","2025-04-21 05:00:00",0
"M00001","2025-04-21 06:00:00",21.17
"M00001","2025-04-21 07:00:00",16.45
"M00001","2025-04-21 08:00:00",13.11
"M00001","2025-04-21 09:00:00",40.71
"M00001","2025-04-21 10:00:00",9.6
"M00001","2025-04-21 11:00:00",16.76
"M00001","2025-04-21 12:00:00",16.13
"M00001","2025-04-21 13:00:00",0
"M00001","2025-04-21 14:00:00",7.48
"M00001","2025-04-21 15:00:00",9.29
"M00001","2025-04-21 16:00:00",27.06
"M00001","2025-04-21 17:00:00",19.77
"M00001","2025-04-21 18:00:00",39.01
"M00001","2025-04-21 19:00:00",15.37
"M00001","2025-04-21 20:00:00",11.19
"M00001","2025-04-21 21:00:00",17.19
"M00001","2025-04-21 22:00:00",0
"M00001","2025-04-21 23:00:00",0
"M00001","2025-04-22 00:00:00",0
"M00001","2025-04-22 01:00:00",0
"M00001","2025-04-22 02:00:00",0
"M00001","2025-04-22 03:00:00",0
"M00001","2025-04-22 04:00:00",0
"M00001","2025-04-22 05:00:00",0
"M00001","2025-04-22 06:00:00",26.64
"M00001","2025-04-22 07:00:00",17.81
"M00001","2025-04-22 08:00:00",16.69
"M00001","2025-04-22 09:00:00",4.61
"M00001","2025-04-22 10:00:00",0
"M00001","2025-04-22 11:00:00",9.34
"M00001","2025-04-22 12:00:00",24.46
"M00001","2025-04-22 13:00:00",19.26
"M00001","2025-04-22 14:00:00",0
"M00001","2025-04-22 15:00:00",9.2
"M00001","2025-04-22 16:00:00",0
"M00001","2025-04-22 17:00:00",7.41
"M00001","2025-04-22 18:00:00",0
"M00001","2025-04-22 19:00:00",21.87
"M00001","2025-04-22 20:00:00",31.09
"M00001","2025-04-22 21:00:00",0
"M00001","2025-04-22 22:00:00",7.69
"M00001","2025-04-22 23:00:00",0
"M00001","2025-04-23 00:00:00",0
"M00001","2025-04-23 01:00:00",0
"M00001","2025-04-23 02:00:00",0
"M00001","2025-04-23 03:00:00",17.3
"M00001","2025-04-23 04:00:00",0
"M00001","2025-04-23 05:00:00",0
"M00001","2025-04-23 06:00:00",8.43
"M00001","2025-04-23 07:00:00",43.12
"M00001","2025-04-23 08:00:00",22.08
"M00001","2025-04-23 09:00:00",14.31
"M00001","2025-04-23 10:00:00",13.15
"M00001","2025-04-23 11:00:00",5.43
"M00001","2025-04-23 12:00:00",0
"M00001","2025-04-23 13:00:00",15.29
"M00001","2025-04-23 14:00:00",0
"M00001","2025-04-23 15:00:00",6.33
"M00001","2025-04-23 16:00:00",9.44
"M00001","2025-04-23 17:00:00",9.87
"M00001","2025-04-23 18:00:00",10.01
"M00001","2025-04-23 19:00:00",27.46
"M00001","2025-04-23 20:00:00",18.49
"M00001","2025-04-23 21:00:00",7.77
"M00001","2025-04-23 22:00:00",0
"M00001","2025-04-23 23:00:00",0
"M00001","2025-04-24 00:00:00",12.51
"M00001","2025-04-24 01:00:00",8.94
"M00001","2025-04-24 02:00:00",0
"M00001","2025-04-24 03:00:00",0
"M00001","2025-04-24 04:00:00",7.4
"M00001","2025-04-24 05:00:00",11.84
"M00001","2025-04-24 06:00:00",51.53
"M00001","2025-04-24 07:00:00",29.56
"M00001","2025-04-24 08:00:00",35.04
"M00001","2025-04-24 09:00:00",13.19
"M00001","2025-04-24 10:00:00",37.32
"M00001","2025-04-24 11:00:00",40.55
"M00001","2025-04-24 12:00:00",15.83
"M00001","2025-04-24 13:00:00",15.57
"M00001","2025-04-24 14:00:00",0
"M00001","2025-04-24 15:00:00",0
"M00001","2025-04-24 16:00:00",14.23
"M00001","2025-04-24 17:00:00",19.24
"M00001","2025-04-24 18:00:00",35.91
"M00001","2025-04-24 19:00:00",11.14
"M00001","2025-04-24 20:00:00",34.38
"M00001","2025-04-24 21:00:00",23.57
"M00001","2025-04-24 22:00:00",12.48
"M00001","2025-04-24 23:00:00",5.54
"M00001","2025-04-25 00:00:00",0
"M00001","2025-04-25 01:00:00",0
"M00001","2025-04-25 02:00:00",0
"M00001","2025-04-25 03:00:00",0
"M00001","2025-04-25 04:00:00",0
"M00001","2025-04-25 05:00:00",5.98
"M00001","2025-04-25 06:00:00",6.76
"M00001","2025-04-25 07:00:00",14.48
"M00001","2025-04-25 08:00:00",25.44
"M00001","2025-04-25 09:00:00",0
"M00001","2025-04-25 10:00:00",0
"M00001","2025-04-25 11:00:00",6.29
"M00001","2025-04-25 12:00:00",16.21
"M00001","2025-04-25 13:00:00",0
"M00001","2025-04-25 14:00:00",6.96
"M00001","2025-04-25 15:00:00",19.98
"M00001","2025-04-25 16:00:00",0
"M00001","2025-04-25 17:00:00",22.03
"M00001","2025-04-25 18:00:00",47.11
"M00001","2025-04-25 19:00:00",12.15
"M00001","2025-04-25 20:00:00",10.88
"M00001","2025-04-25 21:00:00",0
"M00001","2025-04-25 22:00:00",20.85
"M00001","2025-04-25 23:00:00",0
"M00001","2025-04-26 00:00:00",0
"M00001","2025-04-26 01:00:00",0
"M00001","2025-04-26 02:00:00",0
"M00001","2025-04-26 03:00:00",0
"M00001","2025-04-26 04:00:00",0
"M00001","2025-04-26 05:00:00",0
"M00001","2025-04-26 06:00:00",11.37
"M00001","2025-04-26 07:00:00",7.79
"M00001","2025-04-26 08:00:00",20.56
"M00001","2025-04-26 09:00:00",42.63
"M00001","2025-04-26 10:00:00",0
"M00001","2025-04-26 11:00:00",17.61
"M00001","2025-04-26 12:00:00",0
"M00001","2025-04-26 13:00:00",0
"M00001","2025-04-26 14:00:00",19.25
"M00001","2025-04-26 15:00:00",7.6
"M00001","2025-04-26 16:00:00",10.36
"M00001","2025-04-26 17:00:00",19.93
"M00001","2025-04-26 18:00:00",6.15
"M00001","2025-04-26 19:00:00",12.3
"M00001","2025-04-26 20:00:00",8.48
"M00001","2025-04-26 21:00:00",11.99
"M00001","2025-04-26 22:00:00",0
"M00001","2025-04-26 23:00:00",9.13
"M00001","2025-04-27 00:00:00",0
"M00001","2025-04-27 01:00:00",0
"M00001","2025-04-27 02:00:00",0
"M00001","2025-04-27 03:00:00",0
"M00001","2025-04-27 04:00:00",0
"M00001","2025-04-27 05:00:00",8.15
"M00001","2025-04-27 06:00:00",13.72
"M00001","2025-04-27 07:00:00",7.73
"M00001","2025-04-27 08:00:00",18.74
"M00001","2025-04-27 09:00:00",5.83
"M00001","2025-04-27 10:00:00",0
"M00001","2025-04-27 11:00:00",6.71
"M00001","2025-04-27 12:00:00",10.56
"M00001","2025-04-27 13:00:00",15.69
"M00001","2025-04-27 14:00:00",0
"M00001","2025-04-27 15:00:00",6.61
"M00001","2025-04-27 16:00:00",6.73
"M00001","2025-04-27 17:00:00",16.93
"M00001","2025-04-27 18:00:00",9.41
"M00001","2025-04-27 19:00:00",14.1
"M00001","2025-04-27 20:00:00",7.23
"M00001","2025-04-27 21:00:00",9.35
"M00001","2025-04-27 22:00:00",12.33
"M00001","2025-04-27 23:00:00",0
"M00001","2025-04-28 00:00:00",0
"M00001","2025-04-28 01:00:00",6.36
"M00001","2025-04-28 02:00:00",0
"M00001","2025-04-28 03:00:00",0
"M00001","2025-04-28 04:00:00",12.28
"M00001","2025-04-28 05:00:00",15.55
"M00001","2025-04-28 06:00:00",10.91
"M00001","2025-04-28 07:00:00",71.63
"M00001","2025-04-28 08:00:00",13.9
