meter_id,avg_daily_gal,peak_hourly_gal,base_hourly_gal,peak_to_median,night_share,weekend_ratio,summer_ratio,usage_tier,usage_pattern,customer_class
M00031,1171.7663333333333,297.62,6.0089999999999995,8.028594550849744,0.054551737040481246,1.132746638352789,1.294480418152997,Very High,Highly peaked,Commercial
M00032,1867.7254444444445,492.18,10.067,8.271237711116713,0.055556999842172855,1.157926058428819,1.2603309175441892,Very High,Highly peaked,Commercial
M00033,213.54155555555556,101.24,0,16.87333333333333,0.04284568083027295,1.073535497133111,1.51487654552849,Medium,Highly peaked,Residential
M00034,279.7811111111111,88.4,0,10.57416267942584,0.036646902538889525,1.1246060900176715,1.2479686921451731,Medium,Highly peaked,Residential
M00035,150.6846666666667,57.98,0,5798,0.03346060426409234,1.0300354377518983,1.2772623977276962,Medium,Highly peaked,Residential
M00036,1581.2078888888889,443.12,8.166,7.664446942834905,0.038403130771124276,1.097599829531962,1.2245915438941406,Very High,Typical indoor,Multi-family
M00037,405.1198888888889,115.54,0,9.493837304847988,0.09081481778096415,1.146880261589844,1.775189252260173,High,Highly peaked,Residential
M00038,198.93133333333333,76.05,0,12.023715415019762,0.03311639638915047,1.1165690172902256,1.2837720639904455,Medium,Highly peaked,Residential
M00039,1897.0501111111112,508.36,10.155000000000001,7.440866510538642,0.03677569344358091,1.1417284891200683,1.2306702605476878,Very High,Typical indoor,Multi-family
M00040,417.8996666666667,133.69,0,9.826534362366777,0.039590045138426365,1.1428628244310244,1.179388817464636,High,Highly peaked,Residential
M00041,388.125,103.7,0,8.93195521102498,0.08506852746466273,1.1351735297699672,1.861311480552648,High,Irrigation-driven,Residential
M00042,231.05777777777777,116.64,0,16.11049723756906,0.03405641686543048,1.1227545531055376,1.246611315774191,Medium,Highly peaked,Residential
M00043,147.52022222222223,71.04,0,7104.000000000001,0.041541573961234694,1.0906412394003122,1.3614615797369567,Medium,Highly peaked,Residential
M00044,2642.495888888889,1420.02,0,85.62074163400662,0.4101786261582747,1.121699486486983,1.2629611556426616,Very High,High overnight / possible waste,Irrigation
M00045,346.07099999999997,139.05,0,13.211401425178147,0.031849919043587395,1.1582608378576686,1.2277098886033573,High,Highly peaked,Residential
M00046,4436.441555555555,2484.1,7.65,93.05487919085971,0.40308045682458116,1.122997598960544,1.2853249888587206,Very High,High overnight / possible waste,Irrigation
M00047,1452.823111111111,473.62,7.289000000000001,9.334253054789123,0.036031533394598476,1.0927514227185617,1.2370455007020797,Very High,Highly peaked,Multi-family
M00048,214.14244444444444,92.64,0,13.543859649122808,0.03731835818525779,1.2365275453732907,1.3635569435401158,Medium,Highly peaked,Residential
M00049,2600.047,1464.16,0,87.12645046117228,0.39273619113637387,1.1669103832510341,1.2331082638258586,Very High,High overnight / possible waste,Irrigation
M00050,299.49322222222224,109.27,0,12.381869688385269,0.038806294633267534,1.1644334950602075,1.2664504956630496,Medium,Highly peaked,Residential
M00051,211.2301111111111,84.16,0,13.048062015503875,0.041768034965553626,1.2049830332075646,1.264921962463569,Medium,Highly peaked,Residential
M00052,148.23444444444445,110.98,0,11098,0.037902421839278624,1.0734551141768895,1.2693205790899937,Medium,Highly peaked,Residential
M00053,194.57066666666668,94.41,0,16.348051948051946,0.039057503243608724,1.1505947644637837,1.1380664980412407,Medium,Highly peaked,Residential
M00054,1355.2995555555556,264.21,7.261,6.037015880269621,0.054711152007723425,1.0709307182717924,1.2579564744885723,Very High,Typical indoor,Commercial
M00055,338.3743333333333,100.09,0,9.90009891196835,0.03126287816024922,1.0996069145818577,1.286735604067348,High,Highly peaked,Residential
M00056,2781.114111111111,684.58,17.14,7.556904735622034,0.05203042729438526,1.1050958776411337,1.2178508842416802,Very High,Typical indoor,Commercial
M00057,312.04688888888893,75.78,0,7.951731374606506,0.03750397910285562,1.0406955840743066,1.2267659357649905,High,Typical indoor,Residential
M00058,154.0301111111111,80.38,0,8037.999999999999,0.025708537508178416,1.1499168425352,1.225052040702058,Medium,Highly peaked,Residential
M00059,222.96511111111113,118.75,0,20.247229326513214,0.028399061935948124,1.2688532507976626,1.4475936647670389,Medium,Highly peaked,Residential
M00060,153.44933333333333,75.79,0,7579.000000000001,0.0341748706051364,1.1925179559169072,1.2592347596169966,Medium,Highly peaked,Residential
